
> horizon-trade-backend@1.0.0 dev
> tsx watch src/index.ts

Backend listening on http://localhost:3001
[2026-03-15T13:50:03.277Z] GET /api/strategy-settings/demo-account 304 3.0ms
[2026-03-15T13:50:03.983Z] GET /api/strategy-runs?accountType=demo 304 2.4ms
[2026-03-15T13:50:06.031Z] GET /api/dashboard?accountType=demo 200 1058.3ms
[2026-03-15T13:50:09.727Z] GET /api/strategies 304 1.0ms
[2026-03-15T13:50:16.368Z] GET /api/health 200 1.0ms
[2026-03-15T13:50:19.693Z] GET /api/backtests 304 1.7ms
[2026-03-15T13:50:21.589Z] GET /api/dashboard?accountType=demo 200 542.0ms
[2026-03-15T13:50:23.290Z] GET /api/strategy-settings/demo-account 304 0.9ms
[2026-03-15T13:50:23.993Z] GET /api/strategy-runs?accountType=demo 304 1.1ms
[2026-03-15T13:50:25.609Z] GET /api/strategies 200 1.0ms
[2026-03-15T13:50:25.666Z] GET /api/strategy-runs?accountType=demo 200 2.1ms
[2026-03-15T13:50:26.188Z] GET /api/dashboard?accountType=demo 200 531.2ms
[2026-03-15T13:50:29.740Z] GET /api/strategies 304 1.0ms
[2026-03-15T13:50:32.713Z] GET /api/session/status 304 0.4ms
[2026-03-15T13:50:37.139Z] GET /api/dashboard?accountType=demo 200 540.3ms
[2026-03-15T13:50:43.305Z] GET /api/strategy-settings/demo-account 304 1.0ms
[2026-03-15T13:50:44.005Z] GET /api/strategy-runs?accountType=demo 304 0.9ms
[2026-03-15T13:50:49.704Z] GET /api/backtests 304 1.3ms
[2026-03-15T13:50:49.752Z] GET /api/strategies 304 1.0ms
[2026-03-15T13:50:52.674Z] GET /api/dashboard?accountType=demo 200 526.0ms
[2026-03-15T13:51:02.725Z] GET /api/session/status 304 0.5ms
[2026-03-15T13:51:03.315Z] GET /api/strategy-settings/demo-account 304 0.7ms
[2026-03-15T13:51:03.970Z] POST /api/session/login 200 0.8ms
[2026-03-15T13:51:03.979Z] GET /api/strategies 200 0.8ms
[2026-03-15T13:51:03.981Z] GET /api/strategy-runs?accountType=demo 200 0.7ms
[2026-03-15T13:51:04.019Z] GET /api/strategy-runs?accountType=demo 304 0.9ms
[2026-03-15T13:51:08.204Z] GET /api/dashboard?accountType=demo 200 518.1ms
[2026-03-15T13:51:09.764Z] GET /api/strategies 304 0.7ms
[2026-03-15T13:51:19.716Z] GET /api/backtests 304 1.5ms
[2026-03-15T13:51:23.330Z] GET /api/strategy-settings/demo-account 304 1.7ms
[2026-03-15T13:51:23.801Z] GET /api/dashboard?accountType=demo 200 582.8ms
[2026-03-15T13:51:24.032Z] GET /api/strategy-runs?accountType=demo 304 1.0ms
[2026-03-15T13:51:29.776Z] GET /api/strategies 304 0.8ms
[2026-03-15T13:51:32.736Z] GET /api/session/status 304 0.3ms
[2026-03-15T13:51:39.361Z] GET /api/dashboard?accountType=demo 200 551.4ms
[2026-03-15T13:51:43.341Z] GET /api/strategy-settings/demo-account 304 1.1ms
[2026-03-15T13:51:44.044Z] GET /api/strategy-runs?accountType=demo 304 0.9ms
[2026-03-15T13:51:49.728Z] GET /api/backtests 304 1.3ms
[2026-03-15T13:51:49.790Z] GET /api/strategies 304 0.9ms
[2026-03-15T13:51:55.844Z] GET /api/dashboard?accountType=demo 200 1469.2ms
[2026-03-15T13:52:02.749Z] GET /api/session/status 304 0.3ms
[2026-03-15T13:52:03.354Z] GET /api/strategy-settings/demo-account 304 0.8ms
[2026-03-15T13:52:04.058Z] GET /api/strategy-runs?accountType=demo 304 0.9ms
[2026-03-15T13:52:09.803Z] GET /api/strategies 304 1.0ms
[2026-03-15T13:52:11.855Z] GET /api/dashboard?accountType=demo 200 996.3ms
[2026-03-15T13:52:19.740Z] GET /api/backtests 304 1.2ms
[2026-03-15T13:52:23.364Z] GET /api/strategy-settings/demo-account 304 0.8ms
[2026-03-15T13:52:24.068Z] GET /api/strategy-runs?accountType=demo 304 0.9ms
[2026-03-15T13:52:27.401Z] GET /api/dashboard?accountType=demo 200 532.3ms
[2026-03-15T13:52:29.814Z] GET /api/strategies 304 1.2ms
[2026-03-15T13:52:32.761Z] GET /api/session/status 304 0.3ms
[2026-03-15T13:52:42.934Z] GET /api/dashboard?accountType=demo 200 519.9ms
[2026-03-15T13:52:43.381Z] GET /api/strategy-settings/demo-account 304 1.3ms
[2026-03-15T13:52:44.082Z] GET /api/strategy-runs?accountType=demo 304 1.3ms
3:52:44 PM [tsx] change in ./src\strategy\strategy-dsl-parser.ts Restarting...
c
